Performance da campanha
1 de janeiro de 2026 - 8 de setembro de 2026
Campanha,Estado da campanha,Tipo de campanha,ID da campanha,Dia,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Resultados,Ligações telefônicas,CPM méd. visível,CTR visível,Visitas à loja (baseada em dados),Impr. visíveis,Parcela de cliques,Cliques orgânicos,Listagens orgânicas
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-08-20,76,1.677,"4,53%",BRL,"0,72","54,55","18,97",0,"2,88","24,96%","Contato: 12,00; Outro: 6,97; Engajamento: 78,00; Ver rotas: 3,00; Visualização de página: 3,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-06-11,75,1.424,"5,27%",BRL,"0,56","42,02","10,00",0,"4,20","13,16%","Contato: 6,00; Outro: 4,00; Engajamento: 46,00; Visualização de página: 2,00",4,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-09-05,75,1.124,"6,67%",BRL,"0,51","37,93","9,00",0,"4,21","12,00%","Contato: 5,00; Outro: 4,00; Engajamento: 31,00; Visualização de página: 3,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-23,73,1.194,"6,11%",BRL,"0,53","38,89","11,98",0,"3,25","16,41%","Contato: 6,00; Outro: 5,98; Engajamento: 65,00; Visualização de página: 2,00; Visita à loja: 3,00",0,0,0,"3,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-06-04,73,1.284,"5,69%",BRL,"0,79","58,00","10,00",0,"5,80","13,70%","Contato: 6,00; Outro: 4,00; Engajamento: 21,00; Ver rotas: 1,00; Visualização de página: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-12,72,1.358,"5,30%",BRL,"0,51","36,38","5,00",0,"7,28","6,94%","Contato: 3,00; Outro: 2,00; Engajamento: 23,00; Visita à loja: 1,00",0,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-03-11,72,1.386,"5,19%",BRL,"0,48","34,80","12,98",0,"2,68","18,03%","Contato: 7,00; Outro: 5,98; Engajamento: 29,00; Ver rotas: 2,00; Visualização de página: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-07-22,72,1.452,"4,96%",BRL,"0,79","57,18","18,00",0,"3,18","25,00%","Contato: 12,00; Outro: 6,00; Engajamento: 16,00; Ver rotas: 1,00; Leads de mensagens: 2,00; Visualização de página: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-08-17,72,1.856,"3,88%",BRL,"0,65","46,68","9,00",0,"5,19","12,50%","Contato: 7,00; Outro: 2,00; Engajamento: 59,00; Ver rotas: 6,00; Leads de mensagens: 1,00; Visualização de página: 5,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-18,71,1.483,"4,79%",BRL,"0,41","28,82","9,00",0,"3,20","12,68%","Contato: 5,00; Outro: 4,00; Engajamento: 27,00; Visualização de página: 8,00",1,0,0,"0,00",0,< 10%,0,0
