Performance da campanha
26 de junho de 2026 - 24 de agosto de 2026
Campanha,Estado da campanha,Tipo de campanha,Código da moeda,Orçamento,Data/hora de início da campanha,Estratégia de lances da campanha,ID da campanha,Dia,Cliques,Impr.,CTR,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Ligações telefônicas,Resultados,Todas as conv.,Conv. em disp. diferentes
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-17,6,164,"3,66%","0,34","2,03","0,00",0,0,"0,00%",0,"Engajamento: 3,00; Ver rotas: 2,00; Visualização de página: 2,00","7,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-19,6,143,"4,20%","0,35","2,10","0,00",0,0,"0,00%",0,"Engajamento: 9,00","9,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-07-20,5,190,"2,63%","0,54","2,72","0,00",0,0,"0,00%",0,"Engajamento: 15,00; Ver rotas: 2,00; Visualização de página: 1,00","18,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-07,5,129,"3,88%","1,02","5,12","0,00",0,0,"0,00%",0,"Contato: 2,00; Outro: 1,98; Engajamento: 18,00","23,98","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-08,5,176,"2,84%","0,22","1,11","0,00",0,0,"0,00%",0,"Engajamento: 7,00; Visualização de página: 2,00","9,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-13,5,133,"3,76%","0,49","2,47","0,00",0,0,"0,00%",0,"Engajamento: 10,00; Ver rotas: 1,00; Visualização de página: 2,00","13,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-15,5,124,"4,03%","0,53","2,67","0,00",0,0,"0,00%",0,"Engajamento: 3,00; Leads de mensagens: 1,00","4,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-07-22,3,150,"2,00%","0,27","0,82","0,00",0,0,"0,00%",0,"Engajamento: 6,00","6,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-07-23,3,231,"1,30%","0,32","0,95","0,00",0,0,"0,00%",0,"Engajamento: 6,00","6,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-07-24,3,201,"1,49%","0,27","0,81","0,00",0,0,"0,00%",0,"Engajamento: 12,00","12,00","0,00"
