Performance da campanha
26 de junho de 2026 - 24 de agosto de 2026
Campanha,Estado da campanha,Tipo de campanha,Código da moeda,Orçamento,Data/hora de início da campanha,Estratégia de lances da campanha,ID da campanha,Dia,Cliques,Impr.,CTR,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Ligações telefônicas,Resultados,Todas as conv.,Conv. em disp. diferentes
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-20,76,1.677,"4,53%","0,72","54,55","18,97",0,"2,88","24,96%",1,"Contato: 12,00; Outro: 6,97; Engajamento: 67,00; Ver rotas: 3,00; Visualização de página: 3,00","98,97","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-22,72,1.452,"4,96%","0,79","57,18","18,00",0,"3,18","25,00%",0,"Contato: 12,00; Outro: 6,00; Engajamento: 16,00; Ver rotas: 1,00; Leads de mensagens: 2,00; Visualização de página: 2,00","46,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-17,72,1.856,"3,88%","0,65","46,68","9,00",0,"5,19","12,50%",0,"Contato: 7,00; Outro: 2,00; Engajamento: 59,00; Ver rotas: 6,00; Leads de mensagens: 1,00; Visualização de página: 5,00","87,00","1,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-21,70,1.422,"4,92%","0,62","43,31","9,00",0,"4,81","12,86%",1,"Contato: 5,00; Outro: 4,00; Engajamento: 46,00; Ver rotas: 2,00; Visualização de página: 6,00","69,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-24,70,1.407,"4,98%","0,62","43,45","10,00",0,"4,35","14,28%",1,"Contato: 5,00; Outro: 4,00; Ver rotas: 1,00; Leads de mensagens: 1,00; Lead telefônico: 1,00","26,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-20,68,1.251,"5,44%","0,54","37,02","2,00",0,"18,51","2,94%",2,"Contato: 1,00; Outro: 1,00; Engajamento: 44,00; Ver rotas: 1,00; Visualização de página: 4,00","58,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-18,68,1.568,"4,34%","0,81","55,32","16,00",0,"3,46","23,53%",3,"Contato: 6,00; Outro: 7,00; Engajamento: 50,00; Visualização de página: 8,00; Lead telefônico: 3,00","92,00","1,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-24,64,1.395,"4,59%","0,50","32,31","7,00",0,"4,62","10,94%",1,"Contato: 4,00; Outro: 3,00; Engajamento: 32,00; Ver rotas: 3,00","51,00","1,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-27,63,1.546,"4,08%","0,66","41,64","13,00",0,"3,20","20,63%",0,"Contato: 7,00; Outro: 6,00; Engajamento: 55,00; Ver rotas: 1,00; Visualização de página: 7,00","76,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-19,54,1.600,"3,38%","0,67","35,99","10,99",0,"3,27","20,36%",0,"Contato: 6,00; Outro: 4,99; Engajamento: 37,00; Ver rotas: 4,00; Visualização de página: 1,00","61,99","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-16,52,1.131,"4,60%","0,96","49,80","19,00",0,"2,62","36,54%",3,"Contato: 10,00; Outro: 9,00; Engajamento: 75,00; Visualização de página: 2,00","99,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-28,50,1.226,"4,08%","0,82","41,04","10,00",0,"4,10","19,61%",1,"Contato: 5,00; Outro: 5,00; Engajamento: 37,00; Ver rotas: 3,00; Visualização de página: 4,00","62,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-04,50,1.426,"3,51%","0,85","42,67","11,00",0,"3,88","22,01%",2,"Contato: 6,00; Outro: 5,00; Engajamento: 27,00; Ver rotas: 5,00; Visualização de página: 2,00; Lead telefônico: 0,00","54,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-05,49,1.104,"4,44%","0,75","36,58","4,00",0,"9,15","8,16%",1,"Contato: 2,00; Outro: 2,00; Engajamento: 41,00; Ver rotas: 1,00; Visualização de página: 2,00","52,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-31,48,1.386,"3,46%","0,79","37,87","11,00",0,"3,44","22,92%",1,"Contato: 6,00; Outro: 4,00; Engajamento: 15,00; Lead telefônico: 1,00","26,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-10,47,1.234,"3,81%","0,72","33,88","13,01",0,"2,61","27,67%",3,"Contato: 7,00; Outro: 5,01; Engajamento: 34,00; Ver rotas: 3,00; Visualização de página: 2,00; Lead telefônico: 1,00","57,01","1,00"
